newspaper,category,title,url,content,date_scraped
iHarare,Business,Business,https://iharare.com/category/business/,© 2023 iHarare - All Rights Reserved © 2023 iHarare - All Rights Reserved,2025-05-10
iHarare,Business,Ministry Of Transport Apologises For False Claims On Victoria Falls Road after Being Accused Of Corruption,https://iharare.com/ministry-of-transport-apologises-for-false-claims-on-victoria-falls-road-after-being-accused-of-corruption/,"The Ministry of Transport and Infrastructural Development in Zimbabwe has issued an apology after it posted incorrect information on social media, falsely claiming that contractors were already on site for the Victoria Falls Road project. The apology came after social media users, including investigative journalist Hopewell Chin’ono, accused the government of corruption in the tender process. “The Ministry of Transport and Infrastructural Development wishes to unreservedly apologise to members of the public and all its stakeholders,” read a statement posted on 29 April 2025. The original tweet, published at 9:18am on 29 April, stated that “all eight contractors involved in the project are now on site.” But this claim was false — the tender process had not even closed at the time. Hopewell Chin’ono reacted strongly to the false claim on X (formerly Twitter), saying the government had exposed itself. “They floated a tender for the repair of the Bulawayo–Victoria Falls Road, and the closing date for this tender process is today, 29 April 2025,” he posted. “Yet… the Ministry of Transport’s Twitter handle [says] all the contractors are already on site.” Chin’ono said this could only mean one thing: “Mnangagwa gave the tender to his cronies in exchange for kickbacks and bribes!” He went further, suggesting there may be whistleblowers inside the Ministry: “Perhaps tweeting this is a deliberate move by progressive people inside the regime who are fed up with Mnangagwa’s shameless public procurement criminal cartels.” In a formal retraction issued later the same day, Permanent Secretary Eng. P.J. Makumbe clarified the actual state of affairs. “The Ministry acknowledges that no contractor is on site, as the tender process is still ongoing.” The Ministry explained that the tweet was posted without verification from technical officials: “One of the officers… acknowledged that she breached the internal Standard Operating Procedures of information verification.” The tender, issued on 17 April, closed at 11:00am on 29 April 2025. According to the Ministry: “An evaluation committee will sit, whereupon the outcome will be sent to the Special Procurement Oversight Committee before awarding the same to successful bidders.” Despite the mix-up, the Ministry stressed its commitment to transparency: “The Ministry remains committed to the need for sharing correct information to members of the public.” Follow Us on Google News for Immediate Updates",2025-05-10
iHarare,Business,RBZ Hands Out US$10 Million to 135 Companies Through Targeted Finance Facility,https://iharare.com/rbz-hands-out-us10-million-to-135-companies-through-targeted-finance-facility/,"RBZ Hands Out US$10 Million to 135 Companies Through Targeted Finance Facility The Reserve Bank of Zimbabwe (RBZ) has pumped ZiG300 million (around US$10 million) into the economy through a special funding facility aimed at boosting key industries. Since January, 135 private sector companies have benefited from the initiative, which offers affordable loans to support economic growth. According to RBZ data, the agriculture sector was the biggest winner, with 60 companies accessing funds from the Targeted Finance Facility (TFF). The manufacturing sector wasn’t far behind, with 53 companies benefiting. Meanwhile, 18 firms in the wholesale and retail space also got a slice of the funding, and the construction and energy sectors saw four companies each receive support. RBZ Governor Dr John Mushayavanhu explained that agriculture and manufacturing were prioritised because of their crucial role in driving Zimbabwe’s economic growth. “In line with the facility objectives, the manufacturing and agriculture sectors received the biggest share of the funding, given their significant contribution to domestic production. An analysis of historical growth trends of the Zimbabwe economy shows that strong recovery in agriculture and manufacturing production has had significant positive impacts on the economy,” Dr Mushayavanhu said. Also read: ‘We no longer need the black market’: Why Zimbabwean Manufacturers Are Now Turning Away From Parallel Forex Dealers The TFF, launched by the RBZ at the start of 2025, is designed to boost the economy without causing inflation. It does this by offering low-interest loans to productive industries, while keeping the country’s tight monetary policy intact. Under the TFF, banks borrow money from the central bank at 20% interest and are allowed to on-lend to businesses at a maximum rate of 30%. Loans are short-term, with a maximum repayment period of 270 days. Borrowers can take out and repay loans in ZiG or foreign currency at the current exchange rate. Dr Mushayavanhu expressed satisfaction with how the facility is working. “Overall, the TFF has enabled the Reserve Bank to make available targeted liquidity to the productive sectors of the economy, while maintaining its current tight monetary policy stance, aimed at durably reducing inflation to low and sustainable levels,” he added. Speaking virtually at the ZITF 2025 International Business Conference last week, Finance Minister Professor Mthuli Ncube assured businesses that government will continue to tighten the screws to make sure the TFF stays effective and truly benefits the economy. Follow Us on Google News for Immediate Updates",2025-05-10
iHarare,Business,Why Zimbabwe Seized Land From Black Farmers During Land Reform Program Under Mugabe: Presidential Spokesperson Explains,https://iharare.com/why-zimbabwe-seized-land-from-black-farmers-during-land-reform-program-under-mugabe/," Zimbabwe’s presidential spokesperson George Charamba has revealed why some Black farmers lost land during the country’s controversial Fast Track Land Reform Programme under former President Robert Mugabe in the early 2000s. Writing on the social media platform X, Charamba explained that some Black farmers were used by white farmers to try and protect their land from government takeover. “At the height of Fast Track Land Reforms, a number of black Zimbabweans became parapets behind whom hid several white farmers who sought to deflect and defeat the programme,” wrote Charamba under his X handle @Jamwanda2. “In short, white farmers would ‘transfer’ their farms to those blacks in the hope of saving the farms from acquisition.” Charamba’s post came in response to prominent lawyer and businessman Tawanda Nyambirai’s claim that President Emmerson Mnangagwa had personally intervened to restore land to him and other Black Zimbabweans who lost their farms under the first republic. Tawanda Nyambirai revealed that he lost his land because of political abuse of the system by powerful figures. “In my case, it was the late General Mujuru who abused the system and targeted me,” Nyambirai wrote. “His main target was Mr Strive Masiyiwa as was later explained to me by the former First Family… When HE discovered that the situation was too dangerous for me after my brothers were kidnapped, he advised me to vacate the farms and wait for sanity to prevail before vindicating my rights.” Nyambirai said he was eventually helped by the late Vice President Msika and Chester Mhende. He added that President Emmerson Mnangagwa, who was the speaker of Parliament then,  was supportive and had even advised him to step aside temporarily to avoid violence. Nyambirai confirmed that he followed all the legal steps to reclaim his farms. He said the land was restored after 20 years, thanks to direct intervention from President Mnangagwa. “Upon being reminded that I lost my farms under the First Republic, the President directed that my farms be restored,” he said. “I followed the prescribed legal process and indeed the title to my farms was restored after 20 years. We are now in the final stages of taking back possession.” Nyambirai also mentioned that the group he belongs to includes other Black farmers who held land through companies. Charamba responded by thanking Nyambirai for clarifying the history. “Thank you for clarifying matters for the sake of truth and history. Kune vanga voshandisa your case to badmouth Land Reforms. Anyway, justice was restored and we are happy for you and your family,” Charamba posted. He added that not all land losses were the same. “I would never put landless blacks as a population in the same group with Rhodesian landed gentry, thereby creating a false impression their SCARS were comparable,” Charamba said. He concluded by noting that Zimbabwe’s land issue continues to draw global interest. “It’s not fortuitous that the Zim land issue is being revisited now when Trump has pronounced himself on SA’s racist land policies,” he said. Follow Us on Google News for Immediate Updates",2025-05-10
iHarare,Business,Zimbabwe Returns Seized Farms To Black Farmers Who Lost Land Under Mugabe,https://iharare.com/zimbabwe-returns-seized-farms-to-black-farmers-who-lost-land-under-mugabe/,"The government of Zimbabwe is now restoring farms to black farmers who lost their land during the controversial Fast Track Land Reform Programme under former President Robert Mugabe, businessman and lawyer Tawanda Nyambirai has revealed. Writing on social media platform X, Nyambirai said the directive to return the farms to black indigenous farmers came from President Emmerson Mnangagwa himself. “Upon being reminded that I lost my farms under the First Republic, the President directed that my farms be restored. I followed the prescribed legal process and indeed the title to my farms was restored after 20 years,” wrote Nyambirai on 24 April 2025. “We are now in the final stages of taking back possession. My Senior Brother, Nic Vingirai was also assisted. We have an association of black indigenous farmers who lost land. We are all grateful that the Government, especially the President himself, has stepped forward to give us redress.” Nyambirai revealed that an organised group of black indigenous farmers who had lost their land had formed an association to engage the government and navigate the legal process. When asked if the group included companies that lost land during the programme, he replied: “Some members of the group held their farms through their companies.” He stressed the importance of acknowledging progress, saying: “We must always give credit where it is due.” Presidential spokesperson George Charamba responded positively to the news, thanking Nyambirai for shedding light on the issue. “Thank you for clarifying matters for the sake of truth and history. Kune vanga voshandisa your case to badmouth Land Reforms. Anyway, justice was restored and we are happy for you and your family.” Nyambirai went on to give more personal context about how he lost his land. He said the late General Solomon Mujuru had targeted him, and that the real target was telecommunications magnate Strive Masiyiwa. “In my case, it was the late General Mujuru who abused the system and targeted me. His main target was Mr Strive Masiyiwa, as was later explained to me by the former First Family,” he revealed. Nyambirai explained that President Emmerson Mnangagwa, who was the speaker of Parliament at the time,  had tried to help but ultimately advised him to leave his farm for safety after his brothers were kidnapped. “HE [President Emmerson Mnangagwa] did his best to assist me after he was requested to help me by the late VP Msika and by a dear friend, Mr Chester Mhende. “When HE discovered that the situation was too dangerous for me after my brothers were kidnapped, he advised me to vacate the farms and wait for sanity to prevail before vindicating my rights. “HE was for land reform, but not for the violence. HE always believed that some cases deserved compensation and that land must have title.” He also mentioned that Mnangagwa had played a behind-the-scenes role in trying to assist. “I was privileged to know the side of HE that is hidden to many. If I was better at making friends, I would have had the privilege of being closer to him.” The restoration comes nearly 20 years after the farms were seized. “Justice was restored,” Charamba concluded in his reply. Follow Us on Google News for Immediate Updates






Tags: Fast Track Land Reform ProgrammeGeorge CharambaTawanda Nyambirai Follow Us on Google News for Immediate Updates",2025-05-10
iHarare,Politics,"Zimbabwe Spends US$1.53 Billion in 4 Months, Citizens Demand Answers",https://iharare.com/zimbabwe-spends-us1-53-billion-in-4-months-citizens-demand-answers/,"Zimbabwe Spends US$1.53 Billion in 4 Months, Citizens Demand Answers Zimbabwe’s Finance Minister, Professor Mthuli Ncube, says the government has managed to live within its means, spending US$1.53 billion in just four months while collecting slightly more, US$1.57 billion in revenue. Speaking to journalists in Harare on Tuesday, 29 April, the minister described this as a major achievement. In a video shared by Information Secretary Nick Mangwana on X, Ncube proudly announced that despite limited borrowing space, Zimbabwe is staying on budget. “We managed to raise US$1,57 billion in terms of revenue. In terms of expenditure, it was US$1,53 billion equivalent. Again, we were able to live within our means as we always do. We have a tight budget because of limited space for borrowing,” Mthuli Ncube said. Watch the video below: The Minister of Finance, Economic Development and Investment Promotion, Prof. Mthuli Ncube reports that Zimbabwe exceeded its first-quarter target for mobilizing tax revenue and non-tax revenue. During the same period, the Government also managed to contain expenditure to an… pic.twitter.com/G58ykCTH2f — Nick Mangwana (@nickmangwana) April 29, 2025  However, ordinary Zimbabweans didn’t exactly roll out the red carpet for the announcement. In the comment section, many questioned how the money was being used, pointing to the daily struggles they face despite all the government’s “target beating.” Here are some of the reactions: @MuronzwaLameck: But civil servants are earning less than 250 USD. Make it make sense. @gonorejindwi1: How come muzvipatara hamuna mishonga, the roads are not being revamped when you are reaching the targets? @lovemoresithol8: If we are always surpassing tax collection targets, why are there no improvements in the Hospitals, in people’s lives, in schools, in whatever you might think of? @ColonialGhost1: Exceeding revenue targets while: * Civil servants earn poverty wages (below USD100/month)
*Hospitals lack basic drugs
*Infrastructure crumbles
*Diaspora remittances (not govt policy) keep families alive
This isn’t success, it’s extracting blood from stone while elites feast. @GwenziNdin57383: A father who keeps a fat wallet, yet his family is impoverished and starving. You’re containing public expenditure by not disbursing funds to Ministries & Parastatals. And we are expected to give a pat on Mthuli’s back for a job well done? Follow Us on Google News for Immediate Updates",2025-05-10
iHarare,Politics,"Pics: Zim Deputy Minister Sheillah Chikomo Gets Engaged in Style – Helicopters, Yachts and Dubai Dreams",https://iharare.com/pics-zim-deputy-minister-sheillah-chikomo-gets-engaged-in-style-helicopters-yachts-and-dubai-dreams/,"Pics: Zim Deputy Minister Sheillah Chikomo Gets Engaged in Style – Helicopters, Yachts and Dubai Dreams Zimbabwe’s Deputy Minister of Foreign Affairs and International Trade, Sheillah Chikomo, just proved that even serious politicians can have fairy-tale love stories. Known for keeping her private life under wraps, the glamorous Mwenezi East MP gave her followers a rare peek into her romantic life- and it was nothing short of cinematic. Taking to Instagram, Sheillah revealed that she is officially off the market. The post featured a stylish reel of her fiancé, whom she affectionately calls Ba Josh, going down on one knee and popping the big question at a helicopter pad in Dubai. Without revealing his full identity, Sheillah let the video speak for itself. But that wasn’t all. After the proposal, the lovebirds hopped onto a luxury yacht cruise around the stunning Dubai Marina. From Atlantis The Palm to Ain Dubai and the iconic Burj Al Arab, the couple enjoyed breathtaking views while celebrating their next chapter. Naturally, social media couldn’t keep calm. Her comment section was flooded with love and admiration. See the pictures below:   Also read: ‘MaMinister Manyama’ New Deputy Minister Of Foreign Affairs Sheillah Chikomo’s Pictures Go Viral Affectionately known as Sheyz, Sheillah was born on September 18, 1990, in Triangle, Zimbabwe. She’s more than just a politician—she’s also a businesswoman with a sharp mind for leadership and diplomacy. She was sworn in as Zimbabwe’s Deputy Minister of Foreign Affairs and International Trade in February 2024 and said she was fully ready to take on the challenge. “On this new role, it is a very big one, I must say, but I would say it’s all hands on deck now. We are looking into foreign affairs and the bilateral relations that Zimbabwe has with other foreign countries. My ministry looks into the relationship between Zimbabwe and other nations. There is also engagement and re-engagement, and as our President always says, ‘Nyika Inovakwa nevene vayo, Zimbabwe is open for business’. As a new deputy minister, I am looking forward to really working hard to strengthen the relations we have with other countries,” she said. Follow Us on Google News for Immediate Updates",2025-05-10
iHarare,Politics,ICT Minister Tatenda Mavetera Responds to Viral Bum-Shaking Dance Video,https://iharare.com/ict-minister-tatenda-mavetera-responds-to-viral-bum-shaking-dance-video/,"ICT Minister Tatenda Mavetera Responds to Viral Bum-Shaking Dance Video Minister of Information, Communication, Technology and Courier Services, Tatenda Mavetera, has responded to claims that she appears in a viral video showing a sensual kongonya dance at the recently held Zimbabwe International Trade Fair (ZITF). In the clip, a woman wearing a black formal outfit gets down on her hands and knees in the middle of a cheering crowd. She is soon joined by another woman wearing a dress made from the national fabric. Together, they wiggle their hips to Sekuru Gudo’s song Weru, while the crowd encourages them. The video was shared on X by journalist Hopewell Chin’ono, who criticised Mavetera, accusing her of behaving in a way unbefitting of a government minister. He compared the incident to the dignity of Zimbabwe’s first Tourism Minister, Victoria Chitepo, suggesting she would be ashamed. Hopewell wrote: “Zimbabwe’s first Minister of Tourism was Victoria Chitepo. I wonder what she would make of today’s Zimbabwean Minister of ICT, Tatenda Mavetera, presiding over these shameful acts by groups like YoungWomen4Mnangagwa and (ZANUPF’s) women in business at the Zimbabwe International Trade Fair.🥲🥲🥲Mnangagwa has taken Zimbabwe into the sewer; it cannot get worse than this!” Watch the video below: Zimbabwe’s first Minister of Tourism was Victoria Chitepo. I wonder what she would make of today’s Zimbabwean Minister of ICT, Tatenda Mavetera, presiding over these shameful acts by groups like YoungWomen4Mnangagwa and (ZANUPF’s) women in business at the Zimbabwe International… pic.twitter.com/LUAsjUNXuf — Hopewell Chin’ono (@daddyhope) April 27, 2025  Also read: ICT Minister Tatenda Mavetera Breaks Silence On PhD Scandal, Use of ‘Dr’ Title Responding in the comments, Minister Mavetera denied that she was the woman in the video. She said the footage did not show members of Young Women 4 ED, the group she leads, and accused Chin’ono of spreading fake news. She fired back: “POINT OF CORRECTION, please note that I only preside over Young Women 4 ED, which is not captured in this video you reference. Why is my name Mavetera in your tweet? You always say you are trained to verify these things before posting. We do not expect your calibre to be pushing FAKE news and false narratives.” Follow Us on Google News for Immediate Updates",2025-05-10
iHarare,Politics,"Ziyambi Ziyambi Speaks On Leaked Term Extension Memo, Hints Real Amendments Are Coming",https://iharare.com/ziyambi-ziyambi-speaks-on-leaked-term-extension-memo-hints-real-amendments-are-coming/,"Ziyambi Ziyambi Speaks On Leaked Term Extension Memo, Hints Real Amendments Are Coming Justice, Legal and Parliamentary Affairs Minister Ziyambi Ziyambi has finally spoken out about a viral document that’s been causing a stir online. The document, which is believed to be a leaked cabinet memorandum, proposes major constitutional changes. Among them: scrapping a section of the constitution that prevents sitting leaders from extending their terms; a move that could allow President Emmerson Mnangagwa and his deputies to stay in power until 2031. Other proposals include giving Parliament up to three more years beyond its current five-year limit and shifting control of voter registration from the Zimbabwe Electoral Commission (ZEC) to the Registrar of Births and Deaths. Speaking exclusively to NewsHub, the minister dismissed the document as fake and slammed social media users for spreading what he called “false documents.” He made it clear that if any constitutional changes were coming, they would be done transparently and not in the shadows. “I am sick and tired of social media manufacturing and circulating these false documents. This is not the process the government follows when passing a bill. The bill is a public document, and there is no need to get excited. When the government has finalised it, it will be in the public domain for debate. As the government, if we propose a bill, we do not do so in secrecy. The procedure is public,” he said. While denying that the viral document was legitimate, Ziyambi hinted that Zanu PF might still be working on its own constitutional changes behind the scenes. “Mine is coming, wait for it. I do not discuss these matters in secrecy. When it is released, you will see it, and it will be gazetted, not these fabricated documents,” he said. Follow Us on Google News for Immediate Updates",2025-05-10
iHarare,Politics,Paul Mashatile Explains Delay in Beefing Up Security After Assassination Attempt,https://iharare.com/paul-mashatile-explains-delay-in-beefing-up-security-after-assassination-attempt/,"Paul Mashatile Explains Delay in Beefing Up Security After Assassination Attempt Deputy President Paul Mashatile has opened up about the recent alleged assassination attempt on his life and why his security hasn’t been increased amid allegations that his assassination attempt was staged. Mashatile was returning from an ANC meeting in Boksburg when shots were fired at his convoy. At first, he thought someone was throwing stones at his car. But it quickly became clear that it was gunfire. Speaking during a visit to Greater Ivory Park Zone 15 in Soweto, where he was honouring freedom fighters who were killed by police in 1987, Mashatile addressed the issue head-on. He was asked by eNCA journalist Pule Letshwiti-Jones why his security hadn’t been beefed up following the incident. Mashatile explained that security decisions are not up to him or the President. Those calls are made by the country’s security agencies. He explained: “Well, the President and Deputy President don’t determine their security. It’s an assessment done by the security cluster. At the moment, we are convinced that both the President and Deputy President have adequate security. If they think they need to beef up, they will do so.” While Mashatile downplayed the need for changes, police leadership has already taken action behind the scenes. In a statement issued Tuesday night, police commissioner Fannie Masemola’s spokesperson, Athlenda Mathe, confirmed that extra protection had been deployed for both President Cyril Ramaphosa and his deputy. “General Fannie Masemola confirms the reinforcement of security detail to both principals and has also expressed gratitude with the manner in which members of the Presidential Protection Service (PPS) safeguard and handle the safety of both principals. Members of the PPS who are assigned to both the President and the Deputy President are trained to a high level of skill and possess the necessary expertise and capabilities to avert any risk and threat. The resources assigned to safeguard the executive are also adequate and designed to prevent any direct and imminent threat on their lives,” she said. Follow Us on Google News for Immediate Updates",2025-05-10
